7,24/07/2018 17:18,00064-2018-0012,Община Чепеларе,Услуги,"„Приготвяне и доставка на топъл обяд по предварителна заявка на Община Чепеларе, във връзка с изпълнение на процедура за директно предоставяне на безвъзмездна финансова помощ с рег. №BG05FMOP001-3.002- „Осигуряване на топъл обяд 2016-2020” по Оперативна програма за храни и/или основно материално подпомагане, финансиран от Фонд за европейско подпомагане на най-нуждаещите се лица”",380952,BGN,Да,пряко договаряне
7,24/07/2018 17:04,00081-2018-0035,Община Варна,Услуги,"“Провеждане на обучения и супервизия по проект „Приеми ме 2015“, финансиран от Оперативна програма „Развитие на човешките ресурси“, съфинансиран от Европейския социален фонд, съгласно Споразумение за",41820,BGN,Да,публично състезание
7,24/07/2018 16:59,00073-2018-0031,Община Велико Търново,Услуги,„Наем на миячни машини (водоноски) за нуждите на ОП „Зелени системи”,120000,BGN, ,договаряне без предварително обявление
7,24/07/2018 16:57,00093-2018-0001,Комисия за енергийно и водно регулиране /КЕВР/ /предишно наименование - Държавна комисия за енергийно и водно регулиране /ДКЕВР//,Доставки,ДОСТАВКА НА КОМПЮТЪРНА ТЕХНИКА ЗА НУЖДИТЕ НА КЕВР,135000,BGN, ,публично състезание
7,24/07/2018 16:56,00104-2018-0012,Община Мадан,Услуги,„Извършване на специализиран превоз на ученици през учебната 2018-2019 година в община Мадан“,167682.06,BGN, ,публично състезание
7,24/07/2018 16:55,00067-2018-0011,Многопрофилна болница за активно лечение - Национална кардиологична болница /МБАЛ-НКБ/ - София /Старо наименование - Специализирана болница за активно лечение на сърдечно-съдови заболявания - Университетска национална кардиологична болница /СБАЛССЗ - УНКБ/ ЕАД - София/,Доставки,Доставка на лекарствени продукти ,66586.45,BGN, ,договаряне без предварително обявление
7,24/07/2018 16:55,00040-2018-0028,Община Свиленград,Услуги,"„Зимно поддържане, снегопочистване, опесъчаване на       общинска  пътна  мрежа  в  община Свиленград през зимния сезон 2018-2019г.”",150000,BGN, ,публично състезание
7,24/07/2018 16:54,00237-2018-0009,Община Аксаково,Услуги,Извършване на оценка за съответствие на инвестиционни проекти и упражняване строителен надзор на обекти: „Рехабилитация и реконструкция на участъци от пътната мрежа на общ. Аксаково“ по обос. позиции,75000,BGN, ,публично състезание
7,24/07/2018 16:33,01547-2018-0002,Пристанище Варна  ЕАД,Услуги,№ ОП-06-18 “Авариен ремонт на мобилен кран 144 т.“,200000,BGN, ,пряко договаряне
7,24/07/2018 15:55,00362-2018-0002,Община Брезово,Услуги,„Специализиран превоз на  деца и ученици за учебната 2018/2019 г. по утвърдени маршрутни разписания до детските градини и училищата на Община Брезово”,120000,BGN, ,публично състезание
7,24/07/2018 15:55,00530-2018-0063,Национална агенция за приходите /НАП/,Доставки,"Доставка на хигиенни продукти, включително почистващи, полиращи продукти, дезифектанти, големи и малки пликове за смет от полиетилен за нуждите на Централно управление на Националната агенция за прихо",107500,BGN, ,публично състезание
7,24/07/2018 15:51,00796-2018-0002,Водоснабдяване и канализация ЕООД - София,Строителство,"„Ремонтни работи на проблемни участъци в техническите райони, както следва: „Костинброд"", „Годеч”, „Горна Малина”, „Долна Баня” и  ""Ихтиман""",1735000,BGN, ,публично състезание
7,24/07/2018 15:41,05692-2018-0001,"Детска градина ""Детелина"" гр. Видин",Доставки,"Доставка 90 000 литра гориво за отопление /газьол, дизелово гориво, тежко гориво или друго гориво съгласно номенклатурата на Лукойл Нефтохим Бургас АД/ за пет отоплителни сезона от 2018 до 2023 год.",170000,BGN, ,договаряне без предварително обявление
7,24/07/2018 15:26,00207-2018-0053,Районна здравноосигурителна каса РЗОК/ - Бургас,Услуги,"Следгаранционно сервизно обслужване на служебните автомобили на РЗОК-Бургас, включително доставка и монтаж на резервни части, консумативи и принадлежности за тях",5000,BGN, ,публично състезание
7,24/07/2018 14:30,00769-2018-0002,Сметна палата на Република България /РБ/,Доставки,„Доставка на TEMPEST SDIP-27 Level A сертифицирано компютърно оборудване”,15000,BGN, ,публично състезание
7,24/07/2018 13:16,00532-2018-0017,Община Ардино,Строителство,Изграждане на подпорна стена в с. Падина,9350,BGN, ,публично състезание
7,24/07/2018 13:09,00906-2018-0006,Предприятие за управление на дейностите по опазване на околната среда /ПУДООС/,Услуги,"„Извършване оценка на съответствието и строителен надзор (с 5 об. п.) при строеж на пет пилотни общински центъра по проект за екологосъобразно събиране и временно съхранение на опасни битови отпадъци""",14450,BGN, ,публично състезание
7,24/07/2018 12:00,02709-2018-0044,Териториално поделение държавно горско стопанство /ТПДГС/ - Своге към Държавно предприятие - Северозападно държавно предприятие /ДПСЗДП/ - Враца,Строителство,"Ремонт на пристройка към административна сграда на ТП ДГС Своге, с адрес гр.Своге, ул.Звънче 2, Уникален номер на поръчката: 20180724Livb9717162",15000,BGN, ,публично състезание
7,24/07/2018 11:25,00761-2018-0003,Община Сапарева баня,Строителство,"„Аварийно – възстановителни мероприятия на ул. „Хан Аспарух“, село Сапарево, Община Сапарева баня“.",176961.4,BGN, ,пряко договаряне
7,24/07/2018 11:24,00530-2018-0062,Териториална дирекция на Национална агенция за приходите /ТД на НАП/ - Варна,Услуги,"Усл. по ремонт и под-ка на сис-и за конт. на достъп и сис-и за видео-е, вкл. дост-ка и монтаж на рез. части при необх-т за нуждите на офиси при ТД на НАП Варна Добрич, Русе, Силистра, Тър-ще и Шумен",21000,BGN, ,публично състезание
7,24/07/2018 11:13,00575-2018-0006,Община Раковски,Строителство,"„ПРИСТРОЙКА НА НОВА СГРАДА КЪМ ДЕТСКА ГРАДИНА „ЩАСТЛИВО ДЕТСТВО”- две нови градински групи и физкултурен салон – ОСНОВНО ЗАСТРОЯВАНЕ в УПИ I-180,детска градина, имот №502.180,кв.48,ПУП на гр. Раковски",500000,BGN, ,публично състезание
7,24/07/2018 10:04,00477-2018-0003,Община Брусарци,Строителство,„Текущ ремонт на общинска пътна инфраструктура на територията на община Брусарци”,21666.66,BGN, ,публично състезание
7,24/07/2018 09:51,02718-2018-0148,Териториално поделение държавно ловно стопанство /ТПДЛС/ - Широка поляна към Държавно предприятие - Южноцентрално държавно предприятие /ДПЮЦДП/ - Смолян,Доставки,"„Доставка на оръжия (вкл. ловно), муниции, оптически прибори, аксесоари и части за тях- фотокапани, бинокли, далекомер, за нуждите на ТП ДЛС ”Широка поляна”.",4800,BGN, ,публично състезание
7,24/07/2018 09:20,00145-2018-0110,"Териториално поделение ""Социално осигуряване"" на Национален осигурителен институт /ТП на НОИ/ - Ловеч",Доставки,"“Доставка, монтаж, въвеждане в експлоатация и гаранционна поддръжка на климатици за ТП на НОИ - Ловеч”",10850,BGN, ,публично състезание
7,23/07/2018 17:28,00064-2018-0011,Община Чепеларе,Услуги,"„ОПРЕДЕЛЯНЕ НА ИЗПЪЛНИТЕЛ НА КОНСУЛТАНТСКА УСЛУГА ВЪВ ВРЪЗКА С ИЗПЪЛНЕНИЕТО НА ПРОЕКТИРАНЕ И СТРОИТЕЛСТВО НА ОБЕКТ: „ДОПЪЛНИТЕЛНО ВОДОСНАБДЯВАНЕ И ИЗГРАЖДАНЕ НА ВОДОЕМ НА СЕЛО ПРОГЛЕД, ОБЩИНА ЧЕПЕЛАРЕ",18750.33,BGN, ,публично състезание
7,23/07/2018 16:56,00900-2018-0006,"Община Аврен, област Варна",Строителство,„Рехабилитация на част от уличната мрежа в населени места на територията на община Аврен“ по обособени позиции,499600,BGN, ,публично състезание
7,23/07/2018 16:45,00087-2018-0100,Столична община,Услуги,"Преработка по чл. 154, ал. 5 във връзка с ал. 2 от ЗУТ на Работен инвестиционен проект за изграждане, възстановяване и обновяване на прилежащите публични пространства от ЦГЧ на гр. София - Зона 2",90000,BGN, ,договаряне без предварително обявление
